timestamp,event_type_1,event_type_2
2879.80,1.00,1.00
2879.90,1.00,1.00
2880.00,1.00,1.00
2880.10,1.00,1.00
2880.20,1.00,1.00
2880.30,1.00,1.00
2880.40,1.00,1.00
2880.50,1.00,1.00
2880.60,1.00,1.00
2880.70,1.00,1.00
2880.80,1.00,1.00
2880.90,1.00,1.00
2881.00,1.00,1.00
2881.10,1.00,1.00
2881.20,1.00,1.00
2881.30,1.00,1.00
2881.40,1.00,1.00
2881.50,1.00,1.00
2881.60,1.00,1.00
2881.70,1.00,1.00
2881.80,1.00,1.00
2881.90,1.00,1.00
2882.00,1.00,1.00
2882.10,1.00,1.00
2882.20,1.00,1.00
516.50,0.00,1.00
516.60,0.00,1.00
516.70,0.00,1.00
516.80,0.00,1.00
516.90,0.00,1.00
517.00,0.00,1.00
517.10,0.00,1.00
517.20,0.00,1.00
517.30,0.00,1.00
517.40,0.00,1.00
517.50,0.00,1.00
517.60,0.00,1.00
517.70,0.00,1.00
517.80,0.00,1.00
517.90,0.00,1.00
518.00,0.00,1.00
518.10,0.00,1.00
518.20,0.00,1.00
518.30,0.00,1.00
1010.70,1.00,1.00
1010.80,1.00,1.00
1010.90,1.00,1.00
1011.00,1.00,1.00
1011.10,1.00,1.00
1011.20,1.00,1.00
1011.30,1.00,1.00
1011.40,1.00,1.00
1011.50,1.00,1.00
1011.60,1.00,1.00
1011.70,1.00,1.00
1011.80,1.00,1.00
1011.90,1.00,1.00
1012.00,1.00,1.00
1012.10,1.00,1.00
1012.20,1.00,1.00
1012.30,1.00,1.00
1012.40,1.00,1.00
1012.50,1.00,1.00
1012.60,1.00,1.00
1012.70,1.00,1.00
1012.80,1.00,1.00
1012.90,1.00,1.00
1002.10,1.00,0.00
1002.20,1.00,0.00
1002.30,1.00,0.00
1002.40,1.00,0.00
1002.50,1.00,0.00
1002.60,1.00,0.00
1002.70,1.00,0.00
1002.80,1.00,0.00
1002.90,1.00,0.00
1003.00,1.00,0.00
1003.10,1.00,0.00
1003.20,1.00,0.00
1003.30,1.00,0.00
1003.40,1.00,0.00
1003.50,1.00,0.00
1003.60,1.00,0.00
1003.70,1.00,0.00
1003.80,1.00,0.00
1003.90,1.00,0.00
1004.00,1.00,0.00
1004.10,1.00,0.00
1004.20,1.00,0.00
1968.10,1.00,0.00
1968.20,1.00,0.00
1968.30,1.00,0.00
1968.40,1.00,0.00
1968.50,1.00,0.00
1968.60,1.00,0.00
1968.70,1.00,0.00
1968.80,1.00,0.00
1968.90,1.00,0.00
1969.00,1.00,0.00
1969.10,1.00,0.00
1969.20,1.00,0.00
1969.30,1.00,0.00
1969.40,1.00,0.00
1969.50,1.00,0.00
1969.60,1.00,0.00
1969.70,1.00,0.00
1969.80,1.00,0.00
1969.90,1.00,0.00
1970.00,1.00,0.00
2241.90,1.00,1.00
2242.00,1.00,1.00
2242.10,1.00,1.00
2242.20,1.00,1.00
2242.30,1.00,1.00
2242.40,1.00,1.00
2242.50,1.00,1.00
2242.60,1.00,1.00
2242.70,1.00,1.00
2242.80,1.00,1.00
2242.90,1.00,1.00
2243.00,1.00,1.00
2243.10,1.00,1.00
2243.20,1.00,1.00
2243.30,1.00,1.00
